proba_threshold,full_marketing_profit,LogisticRegression_marketing_profit,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_f1,LogisticRegression_auc,RandomForestClassifier_marketing_profit,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_f1,RandomForestClassifier_auc,XGBClassifier_marketing_profit,XGBClassifier_precision,XGBClassifier_recall,XGBClassifier_f1,XGBClassifier_auc
0.1,23840.0,70640.0,0.1834567106533634,0.9982486865148862,0.3099510603588907,0.5935936527203587,181440.0,0.36538461538461536,0.9316987740805605,0.5249136655155401,0.81815117732161,192400.0,0.4757751937984496,0.8598949211908932,0.6126013724266999,0.8434704784982598
0.11,23840.0,76880.0,0.18828590337524817,0.9964973730297724,0.31672696910659615,0.6061451059522263,183440.0,0.374029640084686,0.9281961471103327,0.5331991951710262,0.8223141860871356,192000.0,0.48265609514370666,0.8528896672504378,0.6164556962025317,0.8430049359270092
0.12,23840.0,80400.0,0.19129554655870445,0.9929947460595446,0.3207920792079208,0.6133451991167289,184400.0,0.38198983297022515,0.9211908931698775,0.540041067761807,0.8245660348202328,190720.0,0.4868686868686869,0.8441330998248686,0.6175528507367073,0.8408645038766287
0.13,23840.0,85120.0,0.19530710835058662,0.9912434325744308,0.32631882386855005,0.6228595679496195,185840.0,0.39088191330343797,0.9159369527145359,0.5479308538501834,0.8276935402958869,189760.0,0.4932781799379524,0.8353765323992994,0.6202860858257477,0.8393634580155065
0.14,23840.0,92880.0,0.2023681377825619,0.9877408056042032,0.3359142346634902,0.6385315281217947,186400.0,0.3983115886415963,0.9089316987740805,0.5538954108858059,0.8291461562924112,189680.0,0.5005279831045406,0.830122591943958,0.624505928853755,0.8394538790921837
0.15,23840.0,97520.0,0.2068332108743571,0.9859894921190894,0.3419374430610386,0.6478860504073708,187920.0,0.4085510688836104,0.9036777583187391,0.5627044711014177,0.8324335083153798,190240.0,0.5069667738478028,0.8283712784588442,0.6289893617021277,0.8406562274647162
0.16,23840.0,103600.0,0.21295945433876468,0.9842381786339754,0.3501557632398754,0.6601178105446093,189520.0,0.41822620016273393,0.9001751313485113,0.5711111111111111,0.8357972843443324,189040.0,0.5097826086956522,0.8213660245183888,0.6291079812206574,0.8385922194203198
0.17,23840.0,109920.0,0.21974148061104584,0.9824868651488616,0.3591549295774648,0.6728291103237914,191280.0,0.4291701592623638,0.8966725043782837,0.5804988662131519,0.8394807534679143,188400.0,0.5166666666666667,0.8143607705779334,0.6322229775662814,0.8376471372071254
0.18,23840.0,117120.0,0.2282564311964067,0.978984238178634,0.3701986754966887,0.6873821446647645,191120.0,0.4370689655172414,0.8879159369527145,0.58578856152513,0.8395781730799378,187840.0,0.5214446952595937,0.809106830122592,0.6341798215511325,0.8367784789999149
0.19,23840.0,123200.0,0.23611699872827469,0.9754816112084063,0.3802047781569966,0.6996973273433336,192400.0,0.4469026548672566,0.8844133099824869,0.5937683715461494,0.8423025629196321,188960.0,0.5298165137614679,0.809106830122592,0.6403326403326404,0.839016330662319
0.2,23840.0,131680.0,0.24787851719517642,0.9719789842381786,0.39501779359430605,0.71680790644134,192880.0,0.45315315315315313,0.8809106830122592,0.5984533016061868,0.8434284872861808,189040.0,0.5367561260210035,0.8056042031523643,0.6442577030812325,0.8393430222922946
0.21,23840.0,138480.0,0.258411214953271,0.968476357267951,0.4079675396532645,0.7305617080457403,194240.0,0.4602012808783166,0.8809106830122592,0.6045673076923077,0.8461458785905286,188720.0,0.5407319952774499,0.8021015761821366,0.6459802538787025,0.8388704811856975
0.22,23840.0,145280.0,0.2699657030867222,0.9649737302977233,0.42189892802450224,0.7443155096501404,192880.0,0.46325581395348836,0.87215411558669,0.6051032806804374,0.8438455999928335,188480.0,0.5454545454545454,0.7985989492119089,0.6481876332622601,0.8385577866264147
0.23,23840.0,151040.0,0.2828230409963674,0.9544658493870403,0.43634907926341077,0.7563249963047732,194240.0,0.4706994328922495,0.87215411558669,0.6114180478821363,0.8465629912971814,187600.0,0.5484261501210653,0.7933450087565674,0.6485325697924123,0.8370497422299461
0.24,23840.0,158800.0,0.2996130458817026,0.9492119089316988,0.4554621848739496,0.7720803790182791,194800.0,0.4783027965284474,0.8686514886164624,0.6169154228855722,0.8478487622110444,188160.0,0.5531135531135531,0.7933450087565674,0.6517985611510791,0.8381686680611482
0.25,23840.0,166160.0,0.3185316755476613,0.9422066549912435,0.47610619469026544,0.7871199515365425,194800.0,0.48289345063538613,0.8651488616462347,0.6198243412797992,0.8480156072937055,188400.0,0.5587144622991347,0.7915936952714536,0.6550724637681159,0.8387316302444224
0.26,23840.0,172240.0,0.33690851735015775,0.9352014010507881,0.4953617810760668,0.7996019792977725,196400.0,0.49252243270189433,0.8651488616462347,0.627700127064803,0.8512125382399972,186960.0,0.5607008760951189,0.7845884413309983,0.654014598540146,0.8361880825580822
0.27,23840.0,175920.0,0.35369127516778526,0.9229422066549913,0.5114022319262495,0.8075388782635571,197040.0,0.49898785425101216,0.8633975481611208,0.6324567030147531,0.8525747331598443,186880.0,0.5674300254452926,0.7810858143607706,0.6573323507737657,0.8361950810934288
0.28,23840.0,179920.0,0.3715302491103203,0.9141856392294221,0.5283400809716599,0.8159483183359386,197120.0,0.5046248715313464,0.8598949211908932,0.6360103626943006,0.8529014247898199,185520.0,0.5703225806451613,0.7740805604203153,0.6567607726597325,0.8338113799544031
0.29,23840.0,181600.0,0.38077769625825386,0.9089316987740805,0.5367114788004137,0.8195553634535364,197680.0,0.5109489051094891,0.8581436077057794,0.6405228758169935,0.8541037731623526,184800.0,0.5753604193971167,0.7688266199649737,0.6581709145427287,0.8326230286525637
0.3,23840.0,183360.0,0.3870246085011186,0.9089316987740805,0.5428870292887029,0.8230719874944572,198320.0,0.5152471083070452,0.8581436077057794,0.6438896189224704,0.8553825455408692,184320.0,0.5788079470198676,0.7653239929947461,0.6591251885369533,0.8318307944513371
0.31,23840.0,184160.0,0.39123867069486407,0.9071803852889667,0.5467018469656991,0.8247538755089335,197760.0,0.5225806451612903,0.851138353765324,0.6475682878081279,0.8545973098749893,184320.0,0.5828877005347594,0.7635726795096323,0.6611068991660349,0.8319142169926678
0.32,23840.0,184000.0,0.3946360153256705,0.9019264448336253,0.5490405117270789,0.824684450038296,196480.0,0.5250544662309368,0.8441330998248686,0.6474143720617863,0.8523734552832782,183200.0,0.5843454790823212,0.7583187390542907,0.6600609756097561,0.8299266329542554
0.33,23840.0,183840.0,0.39675174013921116,0.8984238178633975,0.5504291845493563,0.8245316020263279,196720.0,0.532741398446171,0.840630472854641,0.6521739130434783,0.8530198400078832,178160.0,0.5804676753782668,0.7390542907180385,0.650231124807396,0.8207739484280729
